first_air_date,genre_ids,id,name,original_language,original_name,overview,popularity,vote_average,vote_count
2023-09-29,"[16, 18]",212053,A Girl & Her Guard Dog,ja,お嬢と番犬くん,"Isaku just wants to live a normal life. But as the granddaughter of a yakuza boss, that’s a pretty tall order. For years, it’s been difficult for Isaku to make friends and find love. So, she decides to enroll in a high school far from her hometown in hopes of a fresh start. But her plans take an unexpected turn when a worried member of the yakuza, Keiya, enrolls in the same school to protect her.",130.83100000000002,5.5,6
2000-04-18,"[16, 10762, 10759]",902,Yu-Gi-Oh! Duel Monsters,ja,遊☆戯☆王デュエルモンスターズ,"Bullies often target someone frail and weak—someone exactly like Yûgi Muto. He treasures his Millennium Puzzle, an ancient Egyptian artifact that was brought into his grandfather's game shop. Believing that solving the puzzle will grant him his wish, he completes the puzzle, unleashing a new personality within him, the soul of the ""King of Games."" The new personality named Yami Yûgi is the exact opposite of Yûgi. Upon any injustice toward him, Yami Yûgi takes over Yûgi's body and forces the opponent into a ""Shadow Game"".",130.082,8.2,842
2020-04-23,"[16, 18, 10759, 10765]",90293,Ghost in the Shell: SAC_2045,ja,攻殻機動隊 SAC_2045,"After a global financial crisis, the world is engulfed in an AI-driven ""sustainable war."" It's up to Section 9 to counter new forms of cyber threats.",129.037,6.5,107
2006-10-05,"[16, 10765, 10759, 18]",31724,Code Geass: Lelouch of the Rebellion,ja,コードギアス 反逆のルルーシュ,"Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...",127.494,8.4,650
2023-10-06,"[16, 35, 10759, 10765]",229609,My Daughter Left the Nest and Returned an S-Rank Adventurer,ja,冒険者になりたいと都に出て行った娘がSランクになってた,"The young adventurer Belgrieve retires to a quieter life after losing his leg to a beast. While gathering herbs in the woods one day, he rescues an abandoned child. Angeline trains with her father and later achieves S-Rank in the capital’s adventurer guild. Five years later, she decides to return home. Will Belgrieve get another chance at being an adventurer? Will Angeline return home unscathed?",127.165,5.1,7
2022-10-12,"[16, 10759, 10765]",114410,Chainsaw Man,ja,チェンソーマン,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.",126.609,8.6,1333
1993-10-16,"[16, 35]",42573,Slam Dunk,ja,スラムダンク,"Sakuragi Hanamichi is a junior high punk used to getting into fights and being rejected by girls but upon entering high school he meets the girl of his dreams, Haruko Akagi. He will do anything in order to win her heart including joining the school basketball team that is aiming to conquer the nation lead by Haruko's brother. The problem is that Sakuragi has never played basketball before and a freshman sensation is stealing the spotlight and Haruko's affection from him.",125.804,8.6,814
1981-09-28,"[16, 10759, 35, 10751, 10762]",80885,Ninja Hattori-kun,ja,忍者ハットリくん,"11-year-old Kenichi Mitsuba is an average kid who goes to secondary school and struggles with his studies, he is very stubborn and is very lazy and therefore always ends up frustrating his parents and teacher. He loves to find an easy way of things. He befriends Hattori Kanzo, a ninja from the Iga Clan, and he becomes part of the Mitsuba family along with his brother, Shinzo and his ninja dog, Shishimaru. Hattori helps Kenichi with his problems, and constantly keeps an eye on him, as a good friend. The main antagonist Kemumaki, a Koga ninja and his ninja cat, Kagechiyo always troubles Kenichi, mainly because of their feud over one girl, Yumeko. Kenichi asks Hattori to take revenge as a recurring storyline in many episodes. Although Hattori is a good friend, Kenichi sometimes fights with Hattori due to misunderstandings created by Kemumaki. Sometimes Jippou, Togejirou and Tsubame help him.",125.713,7.4,22
2009-04-05,"[10759, 16, 10765]",31911,Fullmetal Alchemist: Brotherhood,ja,鋼の錬金術師 FULLMETAL ALCHEMIST,"Disregard for alchemy’s laws ripped half of Ed Elric’s limbs from his body and left Al’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric’s course, but their purpose will remain unchanged and their bond unbreakable.",125.335,8.7,1804
2008-10-05,"[16, 10765]",42912,Inazuma Eleven,ja,イナズマイレブン,"Endou Mamoru is a cheerful goalkeeper in Raimon Jr High, with six other players in the team. But there was a day when the team was almost lead to disbandment by Natsumi unless they are to win the match against the Teikoku Gakuen, currently the best team of Japan. He tried to save the club by gathering four more players to the team.",125.071,8.0,217
